LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID18700,18700,0,599.0,24.994865389952817,54.38592839300583,0.0,100.0,100,13.825523015545063,1,,671.5583333333333,299.0,75.0,4936.0,402935.0,874.0963470753702,0.8875088640624552,0.7225004675300389,0.18962742892627987,-0.5502171895601866,35.23567579171704,5.444328391090366,-1.2663805407244846,6.471996775466404,600.4999999999999,169.0909235691223,0.26392606534340396,0.8578571428571427,6.900233549421894
ID18701,18701,0,604.0,25.268222768222767,53.820775320775326,0.0,101.0,101,13.940164472315393,1,,668.8657937806875,291.0,73.0,5028.0,408677.0,885.9160221785169,0.8884294843201717,0.7103929068984993,-0.14196167930381587,-0.32691273661386583,38.75591283992149,5.505308209893903,-1.2735919815671248,7.039735354011794,610.5000000000002,177.62344534501926,0.243161577815784,0.8684210526315791,7.188817453089858
ID18711,18711,0,597.0,25.06241312204615,54.09243814289686,0.0,102.0,102,13.81400654289633,1,,667.0216306156406,289.0,67.0,4979.0,400880.0,860.5751978752369,0.8883090559727722,0.7292427189958209,0.3183489353569996,-0.9562289649042188,35.640319283593605,5.510241776262091,1.8720288503334006,6.4680136971721875,599.5000000000002,159.76685815493533,0.29513836147316896,0.9015037593984966,6.525174060636239
ID18731,18731,0,597.0,24.9713607152836,54.512293936853865,0.0,103.0,103,13.779399374015949,1,,666.892797319933,298.0,82.0,4866.0,398135.0,864.1303937957463,0.8840896294068225,0.7242716382337399,0.1967939524838127,-0.25735620309648305,35.76290065872058,5.477444717426522,-1.2640489134062824,6.5291212424181495,596.5,167.70688342236295,0.2665130843552363,0.8727139722019019,6.866661902156545
ID18717,18717,0,586.0,25.063364380468528,54.04812305955405,0.0,104.0,104,13.709922968110668,1,,673.3445945945946,299.0,66.0,4748.0,398620.0,871.8636453477245,0.8856766119114802,0.7254822088756148,0.16609113320974947,-0.7111818847825884,33.252931253926874,5.452668604476133,-1.2600478565872346,6.098469147130877,590.5,163.60746326183363,0.2772193520343928,0.9204988308651596,6.732760408479463
ID18719,18719,0,595.0,25.030646515533164,53.228519451441365,0.0,105.0,105,13.767844320097732,1,,678.4958123953098,300.0,67.0,5075.0,405062.0,884.6994989384993,0.8832687698468471,0.7193859582172365,-0.13812900519802676,0.35585611149957685,36.303258772781966,5.32756172409207,1.8755017542337749,6.814235226710361,595.5,173.68885466076756,0.24805485245775863,0.8770250368188514,7.117558878472967
ID18722,18722,0,608.0,25.244610281923716,53.93394140409066,0.0,106.0,106,13.85427231466257,1,,664.8225538971808,295.0,73.0,5052.0,400888.0,872.3466671359696,0.8845910054978676,0.7154380581024655,0.11468851417550374,-0.5425084789209937,36.02573715381975,5.706098398250001,1.8926161339226757,6.313549931923441,603.0,170.73624165757278,0.2599415723828755,0.8739130434782608,6.952917258263173
ID18728,18728,0,591.0,25.14983164983165,53.888047138047135,0.0,107.0,107,13.75049353271262,1,,678.4100840336134,302.0,78.0,5144.0,403654.0,881.9535459065846,0.8872823008176478,0.7232717977528121,0.018085601594550846,-0.44719742306401766,34.665492176429474,5.589633856185131,1.8833149129227236,6.201746495089452,593.9999999999998,167.98726035510938,0.26451092497466355,0.8748159057437405,6.892600780881257
ID18725,18725,0,599.0,25.171388888888888,53.04472222222222,0.0,108.0,108,13.81976597885342,1,,669.2329450915141,298.0,68.0,4966.0,402209.0,873.4617558768551,0.884273722846476,0.7191279053067652,0.3633964163020405,-0.93915051528986,35.42908372471694,5.482753249934473,-1.266699506696505,6.461914682215613,600.0,162.00701646610958,0.2872721112910434,0.8791208791208791,6.613908751544014
ID18729,18729,0,596.0,25.013014273719563,54.3516652672824,0.0,109.0,109,13.767844320097732,1,,678.2462311557789,303.0,69.0,4987.0,404913.0,875.2931098750091,0.8884880695681062,0.7291237251034415,0.30899401872720017,-0.9938153180606931,35.39928837781335,5.478259098104227,1.8777382917609107,6.461776952109368,595.5,165.50581819951708,0.27319018904060444,0.8809171597633136,6.782227956224695
